prediction,ground_truth,diff_ops,error_ngrams
Design beinAnst unseren Altag .,Design beeinflusst unseren Alltag.,"[('insert', 9, 9, 9, 10), ('replace', 11, 13, 12, 16), ('insert', 26, 26, 29, 30), ('delete', 29, 30, 33, 33)]","[(('ee', 'neutral'), 1), (('in', 'neutral'), 1), (('nf', 'neutral'), 1), (('fl', 'neutral'), 1), (('ll', 'neutral'), 1), (('lt', 'neutral'), 1)]"
Apqumente !,Argumente:,"[('replace', 1, 3, 1, 3), ('replace', 9, 11, 9, 10)]","[(('rg', 'neutral'), 1), (('gu', 'neutral'), 1)]"
tid die lifferens anm Shullenent geriger and soe reght ain,wird die Differenz zum Schwellenwert geringer und so reicht ein,"[('replace', 0, 1, 0, 1), ('insert', 2, 2, 2, 3), ('replace', 8, 9, 9, 10), ('replace', 16, 17, 17, 18), ('replace', 18, 20, 19, 21), ('insert', 23, 23, 24, 25), ('replace', 24, 25, 26, 28), ('insert', 29, 29, 32, 33), ('replace', 30, 31, 34, 35), ('insert', 37, 37, 41, 42), ('replace', 41, 42, 46, 47), ('delete', 47, 48, 52, 52), ('replace', 51, 52, 55, 57), ('replace', 55, 56, 60, 61)]","[(('wi', 'neutral'), 1), (('ir', 'neutral'), 1), (('en', 'german-dominant'), 2), (('nz', 'german-dominant'), 1), (('zu', 'german-dominant'), 1), (('ch', 'german-dominant'), 1), (('ll', 'neutral'), 1), (('le', 'neutral'), 1), (('in', 'neutral'), 1), (('ng', 'neutral'), 1), (('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('so', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('ic', 'neutral'), 1)]"
Wescasere Depablite  ,- Weimarer Republik:,"[('insert', 0, 0, 0, 2), ('replace', 2, 4, 4, 6), ('replace', 5, 6, 7, 8), ('delete', 8, 9, 10, 10), ('replace', 10, 11, 11, 12), ('replace', 13, 14, 14, 15), ('replace', 17, 21, 18, 20)]","[(('ei', 'german-dominant'), 1), (('im', 'neutral'), 1), (('ma', 'neutral'), 1), (('re', 'neutral'), 1), (('er', 'neutral'), 1), (('ep', 'neutral'), 1), (('pu', 'neutral'), 1), (('li', 'neutral'), 1), (('ik', 'neutral'), 1)]"
"Kurone Hisbortahe Erordiing , narn war is","Kurze Historische Einordnung, wann war es","[('replace', 3, 5, 3, 4), ('replace', 10, 11, 9, 10), ('replace', 13, 15, 12, 15), ('replace', 19, 20, 19, 21), ('replace', 23, 25, 24, 26), ('delete', 27, 28, 28, 28), ('insert', 30, 30, 30, 32), ('delete', 31, 33, 33, 33), ('replace', 39, 40, 39, 40)]","[(('rz', 'german-dominant'), 1), (('ze', 'german-dominant'), 1), (('to', 'english-dominant'), 1), (('or', 'neutral'), 1), (('is', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ch', 'german-dominant'), 1), (('in', 'neutral'), 1), (('rd', 'neutral'), 1), (('dn', 'neutral'), 1), (('nu', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('wa', 'neutral'), 1), (('an', 'neutral'), 1), (('nn', 'german-dominant'), 1), (('es', 'neutral'), 1)]"
 tyighordeaseltens . Anbe enndiemait t,gezeigt werden sollten. Auch wenn diese meist,"[('replace', 0, 3, 0, 4), ('replace', 5, 7, 6, 10), ('replace', 10, 11, 13, 15), ('replace', 12, 13, 16, 18), ('delete', 17, 19, 22, 22), ('replace', 22, 25, 25, 28), ('insert', 26, 26, 29, 30), ('insert', 29, 29, 33, 34), ('insert', 32, 32, 37, 40), ('replace', 33, 34, 41, 42), ('insert', 35, 35, 43, 44), ('delete', 36, 38, 45, 45)]","[(('ge', 'german-dominant'), 1), (('ez', 'german-dominant'), 1), (('ze', 'german-dominant'), 1), (('ig', 'neutral'), 1), (('gt', 'neutral'), 1), (('er', 'neutral'), 1), (('rd', 'neutral'), 1), (('de', 'german-dominant'), 1), (('en', 'german-dominant'), 1), (('ol', 'neutral'), 1), (('ll', 'neutral'), 1), (('lt', 'neutral'), 1), (('uc', 'neutral'), 1), (('nn', 'german-dominant'), 1), (('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('es', 'neutral'), 1), (('se', 'neutral'), 1)]"
" ofte Verglich sumne Meassishen Beratingsmadel , hoberfwie nur I","- Im Vergleich zum klassischen Beratungsmodell, haben wir nun","[('insert', 0, 0, 0, 1), ('replace', 1, 5, 2, 4), ('insert', 11, 11, 10, 11), ('replace', 15, 16, 15, 16), ('delete', 18, 20, 18, 18), ('replace', 21, 23, 19, 21), ('insert', 28, 28, 26, 27), ('replace', 37, 38, 36, 37), ('replace', 42, 43, 41, 42), ('replace', 46, 47, 45, 46), ('replace', 50, 51, 49, 50), ('replace', 53, 55, 52, 54), ('replace', 57, 58, 56, 57), ('replace', 61, 64, 60, 61)]","[(('ei', 'german-dominant'), 1), (('zu', 'german-dominant'), 1), (('kl', 'german-dominant'), 1), (('la', 'neutral'), 1), (('as', 'neutral'), 1), (('ss', 'neutral'), 1), (('he', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('od', 'neutral'), 1), (('de', 'german-dominant'), 1), (('ab', 'neutral'), 1), (('be', 'neutral'), 1), (('wi', 'neutral'), 1)]"
 Datenbanken speichern Informationen .,Datenbanken speichern Informationen.,"[('delete', 0, 1, 0, 0), ('delete', 36, 37, 35, 35)]",[]
Das hdistielard hate miht melt gaie a will Ergens . ',Das Industrieland hatte nicht mehr ganz so viel Einfluss.,"[('replace', 4, 5, 4, 6), ('replace', 6, 7, 7, 8), ('insert', 9, 9, 10, 11), ('replace', 13, 14, 15, 16), ('insert', 19, 19, 21, 22), ('replace', 21, 22, 24, 25), ('insert', 23, 23, 26, 27), ('replace', 28, 30, 32, 34), ('insert', 33, 33, 37, 44), ('delete', 35, 41, 46, 46), ('replace', 44, 47, 49, 50), ('insert', 48, 48, 51, 54), ('replace', 49, 50, 55, 56), ('delete', 51, 53, 57, 57)]","[(('nd', 'neutral'), 1), (('du', 'neutral'), 1), (('st', 'neutral'), 1), (('el', 'neutral'), 2), (('la', 'neutral'), 1), (('ha', 'neutral'), 1), (('tt', 'neutral'), 1), (('te', 'neutral'), 1), (('ht', 'neutral'), 1), (('hr', 'german-dominant'), 1), (('ga', 'neutral'), 1), (('an', 'neutral'), 1), (('nz', 'german-dominant'), 1), (('so', 'neutral'), 1), (('vi', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('in', 'neutral'), 1), (('nf', 'neutral'), 1), (('fl', 'neutral'), 1), (('lu', 'neutral'), 1)]"
 toinfeck duce diediuerdibesndeens t,"singend durch die Natur, die besonders aus -","[('replace', 0, 3, 0, 1), ('replace', 5, 6, 3, 4), ('replace', 7, 9, 5, 7), ('insert', 12, 12, 10, 11), ('replace', 13, 14, 12, 13), ('insert', 18, 18, 17, 25), ('delete', 20, 21, 27, 27), ('replace', 22, 25, 28, 29), ('insert', 28, 28, 32, 33), ('replace', 31, 33, 36, 37), ('replace', 35, 36, 39, 44)]","[(('si', 'neutral'), 1), (('in', 'neutral'), 1), (('ng', 'neutral'), 1), (('en', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('du', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('at', 'neutral'), 1), (('tu', 'neutral'), 1), (('ur', 'neutral'), 1), (('es', 'neutral'), 1), (('so', 'neutral'), 1), (('on', 'neutral'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1)]"
Brider . I larante wih haun stare ampeimnt and die Tellmtion aufelaths,Bei der 1. Variante wird kurz stark angesaugt und die Zellmembran aufgebrochen,"[('replace', 1, 2, 1, 2), ('insert', 3, 3, 3, 4), ('insert', 7, 7, 8, 9), ('replace', 9, 12, 11, 12), ('insert', 14, 14, 14, 15), ('replace', 21, 22, 22, 24), ('replace', 23, 25, 25, 26), ('replace', 26, 27, 27, 29), ('replace', 32, 33, 34, 35), ('replace', 35, 37, 37, 39), ('replace', 38, 41, 40, 44), ('replace', 43, 44, 46, 47), ('replace', 51, 52, 54, 55), ('replace', 56, 59, 59, 64), ('insert', 64, 64, 69, 70), ('replace', 65, 68, 71, 75), ('replace', 69, 70, 76, 78)]","[(('ei', 'german-dominant'), 1), (('ri', 'neutral'), 1), (('wi', 'neutral'), 1), (('ir', 'neutral'), 1), (('rd', 'neutral'), 1), (('ku', 'german-dominant'), 1), (('ur', 'neutral'), 1), (('ta', 'neutral'), 1), (('ar', 'neutral'), 1), (('an', 'neutral'), 2), (('ng', 'neutral'), 1), (('ge', 'german-dominant'), 2), (('es', 'neutral'), 1), (('sa', 'neutral'), 1), (('ug', 'neutral'), 1), (('gt', 'neutral'), 1), (('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('el', 'neutral'), 1), (('ll', 'neutral'), 1), (('lm', 'neutral'), 1), (('me', 'neutral'), 1), (('au', 'german-dominant'), 1), (('uf', 'german-dominant'), 1), (('fg', 'neutral'), 1)]"
"-Kinder , werden als Last angesehen .,",- Kinder werden als Last angesehen,"[('insert', 1, 1, 1, 2), ('delete', 7, 9, 8, 8), ('delete', 35, 38, 34, 34)]","[(('er', 'neutral'), 1)]"
nene lnternehmen ,- neue Unternehmen,"[('insert', 0, 0, 0, 2), ('replace', 2, 3, 4, 5), ('replace', 5, 6, 7, 8), ('delete', 16, 17, 18, 18)]","[(('ne', 'neutral'), 1), (('ue', 'neutral'), 1), (('me', 'neutral'), 1), (('en', 'german-dominant'), 1)]"
 t innedar DimensBen wt Ben Frmeseden tope hendan s,in mehreren Dimensionen mit dem zu messenden Konzept korrelieren.,"[('delete', 0, 3, 0, 0), ('insert', 5, 5, 2, 10), ('delete', 6, 10, 11, 11), ('replace', 17, 18, 18, 21), ('replace', 21, 22, 24, 26), ('replace', 24, 25, 28, 29), ('replace', 26, 27, 30, 31), ('replace', 28, 30, 32, 35), ('insert', 33, 33, 38, 39), ('insert', 34, 34, 40, 41), ('insert', 38, 38, 45, 51), ('insert', 39, 39, 52, 54), ('replace', 40, 41, 55, 57), ('replace', 42, 44, 58, 62), ('replace', 46, 51, 64, 65)]","[(('in', 'neutral'), 1), (('eh', 'neutral'), 1), (('hr', 'german-dominant'), 1), (('re', 'neutral'), 2), (('er', 'neutral'), 1), (('en', 'german-dominant'), 4), (('ns', 'neutral'), 1), (('si', 'neutral'), 1), (('ne', 'neutral'), 1), (('mi', 'neutral'), 1), (('it', 'neutral'), 1), (('de', 'german-dominant'), 2), (('em', 'neutral'), 1), (('zu', 'german-dominant'), 1), (('ss', 'neutral'), 1), (('se', 'neutral'), 1), (('nd', 'neutral'), 1), (('on', 'neutral'), 1), (('nz', 'german-dominant'), 1), (('ze', 'german-dominant'), 1), (('ep', 'neutral'), 1), (('pt', 'neutral'), 1)]"
Stadenla wahioman an Sport rerestaltenen teil .,Studenten nehmen an Sportveranstaltungen teil.,"[('replace', 2, 3, 2, 3), ('replace', 6, 8, 6, 9), ('replace', 9, 11, 10, 12), ('delete', 12, 14, 13, 13), ('replace', 15, 16, 14, 15), ('replace', 26, 28, 25, 26), ('replace', 30, 31, 28, 30), ('replace', 36, 37, 35, 36), ('insert', 38, 38, 37, 38), ('delete', 45, 46, 45, 45)]","[(('tu', 'neutral'), 1), (('ud', 'neutral'), 1), (('nt', 'neutral'), 1), (('te', 'neutral'), 1), (('en', 'german-dominant'), 2), (('ne', 'neutral'), 1), (('eh', 'neutral'), 1), (('hm', 'neutral'), 1), (('me', 'neutral'), 1), (('ve', 'neutral'), 1), (('er', 'neutral'), 1), (('ra', 'neutral'), 1), (('ns', 'neutral'), 1), (('st', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('ge', 'german-dominant'), 1)]"
"TTT o mit aen Beiteden ag ander alreption brcdsetont had ""I","mit allen Begleiterscheinungen der Konzeption, Durchsetzung und","[('delete', 0, 6, 0, 0), ('insert', 11, 11, 5, 7), ('insert', 16, 16, 12, 15), ('replace', 19, 20, 18, 28), ('delete', 23, 28, 31, 31), ('replace', 32, 35, 35, 39), ('insert', 41, 41, 45, 46), ('replace', 42, 43, 47, 49), ('replace', 45, 46, 51, 52), ('replace', 49, 50, 55, 57), ('replace', 51, 52, 58, 59), ('replace', 53, 55, 60, 62), ('delete', 56, 59, 63, 63)]","[(('mi', 'neutral'), 1), (('it', 'neutral'), 2), (('al', 'neutral'), 1), (('ll', 'neutral'), 1), (('rs', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('nu', 'german-dominant'), 1), (('un', 'german-dominant'), 2), (('ng', 'neutral'), 2), (('ge', 'german-dominant'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1), (('pt', 'neutral'), 1), (('ti', 'neutral'), 1), (('io', 'neutral'), 1), (('ur', 'neutral'), 1), (('rc', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('hs', 'neutral'), 1), (('se', 'neutral'), 1), (('et', 'neutral'), 1), (('tz', 'german-dominant'), 1), (('zu', 'german-dominant'), 1)]"
tt  alntt,Deadlocks,"[('replace', 0, 4, 0, 2), ('insert', 5, 5, 3, 4), ('replace', 6, 9, 5, 9)]","[(('ea', 'english-dominant'), 1), (('ad', 'english-dominant'), 1), (('dl', 'neutral'), 1), (('lo', 'english-dominant'), 1), (('oc', 'neutral'), 1), (('ck', 'neutral'), 1), (('ks', 'neutral'), 1)]"
Maihde taist it,nicht der Fall ist.,"[('replace', 0, 2, 0, 1), ('insert', 3, 3, 2, 3), ('insert', 4, 4, 4, 6), ('insert', 6, 6, 8, 9), ('replace', 7, 8, 10, 11), ('insert', 9, 9, 12, 15), ('replace', 12, 15, 18, 19)]","[(('ni', 'neutral'), 1), (('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1), (('al', 'neutral'), 1), (('ll', 'neutral'), 1)]"
 Hoibtt,vor Gericht,"[('insert', 0, 0, 0, 3), ('replace', 1, 3, 4, 7), ('replace', 4, 5, 8, 10), ('delete', 6, 7, 11, 11)]","[(('vo', 'german-dominant'), 1), (('or', 'neutral'), 1), (('er', 'neutral'), 1), (('ri', 'neutral'), 1)]"
in tenter drder land  ',in einem anderen Land,"[('delete', 3, 4, 3, 3), ('insert', 5, 5, 4, 5), ('delete', 6, 7, 6, 6), ('replace', 8, 9, 7, 8), ('replace', 10, 12, 9, 11), ('insert', 15, 15, 14, 16), ('replace', 16, 17, 17, 18), ('delete', 20, 23, 21, 21)]","[(('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('ne', 'neutral'), 1), (('em', 'neutral'), 1), (('an', 'neutral'), 1), (('nd', 'neutral'), 2), (('de', 'german-dominant'), 1), (('en', 'german-dominant'), 1)]"
Gartenstadt .,Gartenstadt:,"[('replace', 11, 13, 11, 12)]",[]
- A Sprube beinttic des bederand egatine t,"- Sprache beinflusst das Denken, auch negativ","[('delete', 1, 3, 1, 1), ('replace', 7, 9, 5, 8), ('insert', 15, 15, 14, 19), ('delete', 16, 19, 20, 20), ('replace', 21, 22, 22, 23), ('replace', 24, 25, 25, 26), ('replace', 26, 27, 27, 29), ('replace', 28, 29, 30, 33), ('insert', 30, 30, 34, 38), ('delete', 31, 33, 39, 39), ('replace', 38, 42, 44, 45)]","[(('ch', 'german-dominant'), 1), (('he', 'neutral'), 1), (('fl', 'neutral'), 1), (('lu', 'neutral'), 1), (('us', 'neutral'), 1), (('ss', 'neutral'), 1), (('st', 'neutral'), 1), (('da', 'neutral'), 1), (('en', 'german-dominant'), 2), (('nk', 'german-dominant'), 1), (('ke', 'neutral'), 1), (('ne', 'neutral'), 1), (('eg', 'neutral'), 1), (('ga', 'neutral'), 1), (('at', 'neutral'), 1)]"
T T eSeih elieh pegbelybengT,da sie sich vielmehr gegenseitig bedingen.,"[('replace', 0, 1, 0, 2), ('replace', 2, 3, 3, 6), ('insert', 4, 4, 7, 14), ('replace', 5, 6, 15, 27), ('replace', 8, 9, 29, 32), ('delete', 10, 19, 33, 33), ('replace', 21, 24, 35, 39), ('replace', 26, 28, 41, 42)]","[(('da', 'neutral'), 1), (('si', 'neutral'), 2), (('ie', 'german-dominant'), 2), (('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('vi', 'neutral'), 1), (('el', 'neutral'), 1), (('lm', 'neutral'), 1), (('me', 'neutral'), 1), (('eh', 'neutral'), 1), (('hr', 'german-dominant'), 1), (('ge', 'german-dominant'), 2), (('eg', 'neutral'), 1), (('ns', 'neutral'), 1), (('se', 'neutral'), 1), (('ei', 'german-dominant'), 1)]"
"andere Fimen  """,andere Firmen,"[('insert', 9, 9, 9, 10), ('delete', 12, 15, 13, 13)]","[(('ir', 'neutral'), 1), (('en', 'german-dominant'), 1)]"
 Hhimpplybat dasermannyt,Schauspieler mit Namensnennung,"[('insert', 0, 0, 0, 12), ('replace', 1, 3, 13, 14), ('delete', 4, 11, 15, 15), ('replace', 13, 14, 17, 18), ('insert', 15, 15, 19, 22), ('insert', 16, 16, 23, 24), ('delete', 17, 20, 25, 25), ('replace', 22, 24, 27, 30)]","[(('ch', 'german-dominant'), 1), (('ha', 'neutral'), 1), (('au', 'german-dominant'), 1), (('us', 'neutral'), 1), (('sp', 'neutral'), 1), (('pi', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('el', 'neutral'), 1), (('le', 'neutral'), 1), (('er', 'neutral'), 1), (('mi', 'neutral'), 1), (('it', 'neutral'), 1), (('am', 'neutral'), 1), (('me', 'neutral'), 1), (('ns', 'neutral'), 1), (('sn', 'neutral'), 1), (('ne', 'neutral'), 1)]"
I Huygstih etan andne are whed I,- Gegenseitig blockieren und keiner arbeitet weiter,"[('replace', 0, 1, 0, 1), ('replace', 2, 5, 2, 4), ('insert', 6, 6, 5, 7), ('insert', 7, 7, 8, 10), ('replace', 9, 10, 12, 13), ('insert', 11, 11, 14, 20), ('replace', 12, 14, 21, 23), ('replace', 16, 17, 25, 26), ('insert', 19, 19, 28, 32), ('insert', 21, 21, 34, 35), ('insert', 24, 24, 38, 39), ('insert', 25, 25, 40, 44), ('delete', 27, 28, 46, 46), ('replace', 29, 32, 47, 51)]","[(('eg', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('en', 'german-dominant'), 1), (('ns', 'neutral'), 1), (('ei', 'german-dominant'), 2), (('it', 'neutral'), 1), (('ti', 'neutral'), 1), (('ig', 'neutral'), 1), (('lo', 'english-dominant'), 1), (('oc', 'neutral'), 1), (('ki', 'neutral'), 1), (('er', 'neutral'), 1), (('nd', 'neutral'), 1), (('ke', 'neutral'), 1), (('in', 'neutral'), 1)]"
 Abrmdboyitte dec B CAtrd t,Grundbegriffe der IB (Akteure),"[('replace', 0, 3, 0, 1), ('replace', 4, 5, 2, 4), ('replace', 7, 9, 6, 9), ('replace', 10, 12, 10, 12), ('replace', 16, 17, 16, 17), ('insert', 18, 18, 18, 19), ('replace', 20, 21, 21, 22), ('insert', 22, 22, 23, 24), ('insert', 23, 23, 25, 27), ('replace', 24, 27, 28, 30)]","[(('ru', 'german-dominant'), 1), (('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('db', 'english-dominant'), 1), (('eg', 'neutral'), 1), (('gr', 'neutral'), 1), (('ri', 'neutral'), 1), (('if', 'neutral'), 1), (('ff', 'neutral'), 1), (('fe', 'neutral'), 1), (('er', 'neutral'), 1), (('kt', 'german-dominant'), 1), (('te', 'neutral'), 1), (('eu', 'german-dominant'), 1), (('ur', 'neutral'), 1)]"
-lodreile .,- Nachteile :,"[('replace', 1, 5, 1, 7), ('replace', 10, 11, 12, 13)]","[(('ac', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('le', 'neutral'), 1)]"
 alton Frorsart as Smert T I,aktiven Transport als Symport,"[('delete', 0, 1, 0, 0), ('replace', 2, 3, 1, 2), ('replace', 4, 5, 3, 6), ('replace', 7, 8, 8, 9), ('insert', 9, 9, 10, 14), ('delete', 10, 13, 15, 15), ('insert', 17, 17, 19, 20), ('insert', 20, 20, 23, 24), ('replace', 21, 22, 25, 27), ('delete', 24, 28, 29, 29)]","[(('ak', 'neutral'), 1), (('kt', 'german-dominant'), 1), (('ti', 'neutral'), 1), (('iv', 'neutral'), 1), (('ve', 'neutral'), 1), (('ra', 'neutral'), 1), (('an', 'neutral'), 1), (('ns', 'neutral'), 1), (('sp', 'neutral'), 1), (('ls', 'neutral'), 1), (('ym', 'english-dominant'), 1), (('mp', 'neutral'), 1), (('po', 'neutral'), 1), (('or', 'neutral'), 1), (('rt', 'neutral'), 1)]"
"- nur Nachschlagwerk  """,- nur Nachschlagwerk,"[('delete', 20, 23, 20, 20)]",[]
"- viele Renteneinnatmen vou estern . """,- viele Renteneinnahmen von extern,"[('replace', 19, 20, 19, 20), ('replace', 26, 27, 26, 27), ('replace', 29, 30, 29, 30), ('delete', 34, 38, 34, 34)]","[(('ah', 'german-dominant'), 1), (('hm', 'neutral'), 1), (('on', 'neutral'), 1), (('ex', 'neutral'), 1), (('xt', 'neutral'), 1)]"
"- "" rechtsl s . Imethr Widerstand","- ""rechts"": mehr Widerstand","[('delete', 3, 4, 3, 3), ('replace', 10, 11, 9, 11), ('delete', 12, 17, 12, 12), ('delete', 19, 20, 14, 14)]","[(('re', 'neutral'), 1), (('me', 'neutral'), 1), (('eh', 'neutral'), 1), (('hr', 'german-dominant'), 1), (('id', 'neutral'), 1), (('de', 'german-dominant'), 1)]"
 Habihna tak dine Sore wi de hndeet ,arbeiten. Nach dieser Szene wird der Verdacht,"[('insert', 0, 0, 0, 9), ('replace', 1, 2, 10, 11), ('replace', 3, 5, 12, 13), ('delete', 6, 12, 14, 14), ('delete', 15, 16, 17, 17), ('insert', 17, 17, 18, 21), ('replace', 19, 21, 23, 26), ('insert', 25, 25, 30, 32), ('insert', 28, 28, 35, 36), ('insert', 29, 29, 37, 43), ('delete', 30, 34, 44, 44), ('delete', 35, 36, 45, 45)]","[(('ar', 'neutral'), 1), (('rb', 'german-dominant'), 1), (('be', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('it', 'neutral'), 1), (('te', 'neutral'), 1), (('en', 'german-dominant'), 2), (('ac', 'neutral'), 1), (('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('se', 'neutral'), 1), (('er', 'neutral'), 2), (('wi', 'neutral'), 1), (('ir', 'neutral'), 1), (('rd', 'neutral'), 1), (('de', 'german-dominant'), 1)]"
. Wedrsel der Perspeltive,Wechsel der Perspektive,"[('delete', 0, 2, 0, 0), ('replace', 4, 6, 2, 4), ('replace', 20, 21, 18, 19)]","[(('ec', 'english-dominant'), 1), (('hs', 'neutral'), 1), (('se', 'neutral'), 1), (('el', 'neutral'), 1), (('ti', 'neutral'), 1), (('iv', 'neutral'), 1)]"
anod die beshitten ane there Stulathur hoben and sie out cine,und die Geschichten eine klare Struktur haben und sie auf eine,"[('replace', 0, 1, 0, 1), ('delete', 2, 3, 2, 2), ('replace', 9, 10, 8, 9), ('insert', 12, 12, 11, 12), ('replace', 14, 15, 14, 16), ('replace', 19, 20, 20, 22), ('replace', 23, 26, 25, 28), ('insert', 31, 31, 33, 34), ('replace', 32, 34, 35, 36), ('delete', 35, 36, 37, 37), ('replace', 40, 41, 41, 42), ('replace', 45, 46, 46, 47), ('replace', 53, 54, 54, 55), ('replace', 55, 56, 56, 57), ('replace', 57, 58, 58, 59)]","[(('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('es', 'neutral'), 1), (('ch', 'german-dominant'), 2), (('ic', 'neutral'), 1), (('ne', 'neutral'), 1), (('kl', 'german-dominant'), 1), (('tr', 'neutral'), 1), (('ru', 'german-dominant'), 1), (('uk', 'german-dominant'), 1), (('kt', 'german-dominant'), 1), (('ha', 'neutral'), 1), (('au', 'german-dominant'), 1), (('uf', 'german-dominant'), 1)]"
Yefilnanalistrafiabee t,Vorgehen und Strafen vor.,"[('replace', 0, 1, 0, 4), ('replace', 2, 5, 5, 7), ('replace', 6, 7, 8, 10), ('replace', 8, 12, 11, 14), ('delete', 16, 19, 18, 18), ('replace', 20, 21, 19, 20), ('replace', 22, 23, 21, 25)]","[(('or', 'neutral'), 2), (('rg', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('eh', 'neutral'), 1), (('he', 'neutral'), 1), (('en', 'german-dominant'), 2), (('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('ra', 'neutral'), 1), (('af', 'neutral'), 1), (('fe', 'neutral'), 1), (('vo', 'german-dominant'), 1)]"
 treaultsede Maspdyberakiteand t,versucht so die Marquise zu beruhigen und,"[('insert', 0, 0, 0, 8), ('delete', 1, 8, 9, 9), ('replace', 9, 10, 10, 12), ('insert', 11, 11, 13, 14), ('insert', 15, 15, 18, 22), ('replace', 16, 19, 23, 28), ('replace', 22, 24, 31, 33), ('replace', 25, 26, 34, 35), ('replace', 27, 28, 36, 39), ('delete', 30, 32, 41, 41)]","[(('ve', 'neutral'), 1), (('er', 'neutral'), 2), (('rs', 'neutral'), 1), (('su', 'neutral'), 1), (('uc', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1), (('so', 'neutral'), 1), (('ar', 'neutral'), 1), (('rq', 'neutral'), 1), (('is', 'neutral'), 1), (('se', 'neutral'), 1), (('zu', 'german-dominant'), 1), (('ru', 'german-dominant'), 1), (('uh', 'german-dominant'), 1)]"
ab sdfe Se The lech wnd jatr the Fum ltans . hnans . Des .,aber erwischte sie ihn doch und jagte ihn zum Haus hinaus. Das,"[('insert', 2, 2, 2, 14), ('replace', 4, 6, 16, 17), ('replace', 8, 10, 19, 22), ('replace', 11, 17, 23, 25), ('replace', 20, 21, 28, 29), ('insert', 26, 26, 34, 35), ('delete', 27, 31, 36, 36), ('replace', 33, 34, 38, 43), ('replace', 37, 39, 46, 47), ('replace', 40, 41, 48, 49), ('delete', 43, 45, 51, 51), ('insert', 46, 46, 52, 53), ('replace', 48, 49, 55, 56), ('delete', 50, 51, 57, 57), ('replace', 54, 55, 60, 61), ('delete', 56, 58, 62, 62)]","[(('be', 'neutral'), 1), (('er', 'neutral'), 1), (('wi', 'neutral'), 1), (('is', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ch', 'german-dominant'), 2), (('ht', 'neutral'), 1), (('te', 'neutral'), 1), (('si', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('ih', 'neutral'), 2), (('hn', 'german-dominant'), 2), (('un', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('ja', 'german-dominant'), 1), (('ag', 'neutral'), 1), (('zu', 'german-dominant'), 1), (('um', 'neutral'), 1), (('au', 'german-dominant'), 2), (('us', 'neutral'), 2), (('na', 'neutral'), 1)]"
LL Goltbeit G Mapital Matrielle albtedDTT,- Arbeit vs. Kapital (Materielle Konflikte),"[('replace', 0, 2, 0, 1), ('replace', 3, 7, 2, 4), ('replace', 12, 13, 9, 12), ('replace', 14, 15, 13, 14), ('insert', 22, 22, 21, 22), ('insert', 25, 25, 25, 26), ('replace', 32, 33, 33, 37), ('replace', 34, 35, 38, 40), ('replace', 37, 41, 42, 43)]","[(('rb', 'german-dominant'), 1), (('be', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('it', 'neutral'), 1), (('ap', 'english-dominant'), 1), (('te', 'neutral'), 2), (('on', 'neutral'), 1), (('fl', 'neutral'), 1), (('li', 'neutral'), 1), (('ik', 'neutral'), 1), (('kt', 'german-dominant'), 1)]"
HBant,2 Hauptgruppen,"[('insert', 0, 0, 0, 2), ('delete', 1, 2, 3, 3), ('insert', 3, 3, 4, 13), ('delete', 4, 5, 14, 14)]","[(('au', 'german-dominant'), 1), (('up', 'neutral'), 1)]"
