prediction,ground_truth,diff_ops,error_ngrams
Ein Schmetterling tamet .,Ein Schmetterling tanzt.,"[('replace', 20, 22, 20, 22), ('delete', 23, 24, 23, 23)]","[(('tan', 'neutral'), 1), (('anz', 'german-dominant'), 1), (('nzt', 'german-dominant'), 1)]"
 Her lt Symalit inthinarebe in t,"Der Ort Sezuan liegt in China, also ein","[('replace', 0, 2, 0, 1), ('replace', 5, 6, 4, 6), ('replace', 9, 11, 9, 12), ('insert', 12, 12, 13, 15), ('insert', 14, 14, 17, 19), ('replace', 18, 19, 23, 25), ('replace', 23, 24, 29, 36), ('delete', 25, 28, 37, 37), ('delete', 30, 32, 39, 39)]","[(('ezu', 'german-dominant'), 1), (('zua', 'german-dominant'), 2), (('uan', 'neutral'), 1), (('ieg', 'german-dominant'), 1), (('egt', 'german-dominant'), 1), (('hin', 'neutral'), 1), (('ina', 'neutral'), 1), (('als', 'neutral'), 1)]"
- foodersulunaltwenn essewtgha tert,"vor der Zukunft, wenn es so weitergehe. Der","[('replace', 0, 1, 0, 3), ('delete', 2, 5, 4, 4), ('replace', 8, 9, 7, 9), ('replace', 10, 11, 10, 11), ('replace', 13, 15, 13, 14), ('insert', 16, 16, 15, 17), ('insert', 23, 23, 24, 25), ('insert', 24, 24, 26, 29), ('replace', 25, 31, 30, 31), ('replace', 34, 35, 34, 43)]","[(('vor', 'german-dominant'), 2), (('der', 'german-dominant'), 1), (('uku', 'german-dominant'), 1), (('kun', 'german-dominant'), 1), (('unf', 'neutral'), 1), (('nft', 'german-dominant'), 1), (('wei', 'german-dominant'), 1), (('eit', 'german-dominant'), 1), (('ite', 'neutral'), 1), (('erg', 'german-dominant'), 1), (('rge', 'neutral'), 1), (('geh', 'german-dominant'), 1)]"
 Malken haprigg lliyebeada Biderbaellant,alten Ursprung alles Lebenden wiederherstellen,"[('delete', 0, 2, 0, 0), ('replace', 4, 5, 2, 3), ('replace', 8, 10, 6, 9), ('replace', 12, 14, 11, 13), ('insert', 16, 16, 15, 16), ('replace', 18, 20, 18, 22), ('replace', 23, 24, 25, 26), ('replace', 25, 26, 27, 29), ('replace', 27, 28, 30, 31), ('insert', 29, 29, 32, 33), ('replace', 32, 34, 36, 41), ('replace', 37, 38, 44, 45), ('delete', 39, 40, 46, 46)]","[(('alt', 'neutral'), 1), (('lte', 'german-dominant'), 1), (('ten', 'german-dominant'), 1), (('rsp', 'german-dominant'), 1), (('spr', 'german-dominant'), 1), (('pru', 'neutral'), 1), (('run', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('all', 'neutral'), 1), (('lle', 'german-dominant'), 1), (('les', 'neutral'), 1), (('ebe', 'neutral'), 1), (('ben', 'german-dominant'), 2), (('end', 'german-dominant'), 1), (('nde', 'german-dominant'), 2), (('den', 'german-dominant'), 1), (('wie', 'german-dominant'), 1), (('ied', 'neutral'), 1), (('ede', 'neutral'), 1), (('der', 'german-dominant'), 1), (('rhe', 'neutral'), 1), (('her', 'neutral'), 1), (('ers', 'neutral'), 2), (('rst', 'neutral'), 1), (('ste', 'neutral'), 1)]"
2.Ulmsetzang in Dresden-Helterau,2. Umsetzung in Dresden-Hellerau,"[('insert', 2, 2, 2, 3), ('delete', 3, 4, 4, 4), ('replace', 9, 10, 9, 10), ('replace', 27, 28, 27, 28)]","[(('tzu', 'german-dominant'), 1), (('zun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('ell', 'neutral'), 1), (('lle', 'german-dominant'), 1), (('ler', 'german-dominant'), 1)]"
tlit,BRD:,"[('replace', 0, 4, 0, 4)]",[]
Ein Rogenbogen sombert Earben in dan Himmel .,Ein Regenbogen zaubert Farben in den Himmel.,"[('replace', 5, 6, 5, 6), ('replace', 15, 18, 15, 18), ('replace', 23, 24, 23, 24), ('replace', 34, 35, 34, 35), ('delete', 43, 44, 43, 43)]","[(('ege', 'german-dominant'), 1), (('zau', 'german-dominant'), 1), (('aub', 'german-dominant'), 1), (('ube', 'german-dominant'), 1), (('den', 'german-dominant'), 1)]"
ICAWamupts werden ton tolt teaheen h,- Interrupts werden vom BS - bearbeitet,"[('insert', 0, 0, 0, 2), ('replace', 1, 6, 3, 8), ('replace', 18, 19, 20, 21), ('replace', 20, 21, 22, 23), ('replace', 22, 26, 24, 26), ('insert', 27, 27, 27, 36), ('replace', 29, 36, 38, 39)]","[(('nte', 'german-dominant'), 1), (('ter', 'neutral'), 1), (('err', 'neutral'), 1), (('den', 'german-dominant'), 1), (('vom', 'german-dominant'), 2), (('bea', 'english-dominant'), 1), (('ear', 'english-dominant'), 1), (('arb', 'german-dominant'), 1), (('rbe', 'german-dominant'), 1), (('bei', 'german-dominant'), 1), (('eit', 'german-dominant'), 1), (('ite', 'neutral'), 1)]"
H Efgesttettmttdh L LLCLLLLDTTTT,Eigenschaften: -Systematisch,"[('delete', 0, 2, 0, 0), ('replace', 3, 4, 1, 2), ('insert', 6, 6, 4, 18), ('insert', 8, 8, 20, 23), ('replace', 9, 16, 24, 27), ('delete', 17, 32, 28, 28)]","[(('ige', 'german-dominant'), 2), (('gen', 'german-dominant'), 1), (('ens', 'german-dominant'), 1), (('nsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 2), (('cha', 'neutral'), 1), (('haf', 'german-dominant'), 2), (('aft', 'german-dominant'), 1), (('fte', 'neutral'), 1), (('ten', 'german-dominant'), 1), (('yst', 'neutral'), 1), (('ste', 'neutral'), 1), (('tem', 'neutral'), 1), (('ema', 'neutral'), 1), (('mat', 'neutral'), 1), (('ati', 'neutral'), 1), (('tis', 'neutral'), 1), (('isc', 'german-dominant'), 1)]"
- Unternetmen koopenieren miteinander,- Unternehmen kooperieren miteinander,"[('replace', 9, 10, 9, 10), ('replace', 19, 20, 19, 20)]","[(('neh', 'german-dominant'), 1), (('ehm', 'german-dominant'), 1), (('hme', 'german-dominant'), 1), (('per', 'neutral'), 1), (('eri', 'neutral'), 1), (('rie', 'neutral'), 1)]"
 Rer Hund belt laut eime hatse an .,Der Hund bellt laut eine Katze an.,"[('replace', 0, 2, 0, 1), ('insert', 13, 13, 12, 13), ('replace', 22, 23, 22, 23), ('replace', 25, 26, 25, 26), ('replace', 28, 29, 28, 29), ('delete', 33, 34, 33, 33)]","[(('llt', 'neutral'), 1), (('ein', 'german-dominant'), 1), (('ine', 'german-dominant'), 1), (('atz', 'german-dominant'), 1), (('tze', 'german-dominant'), 1)]"
tuebaber tte t,- Alle haben Macht.,"[('replace', 0, 2, 0, 5), ('replace', 3, 4, 6, 8), ('replace', 7, 8, 11, 12), ('insert', 9, 9, 13, 17), ('replace', 10, 14, 18, 19)]","[(('lle', 'german-dominant'), 1), (('hab', 'german-dominant'), 2), (('abe', 'german-dominant'), 2), (('ben', 'german-dominant'), 1)]"
Design beinAnst unseren Altag .,Design beeinflusst unseren Alltag.,"[('insert', 9, 9, 9, 10), ('replace', 11, 13, 12, 16), ('insert', 26, 26, 29, 30), ('delete', 29, 30, 33, 33)]","[(('bee', 'english-dominant'), 1), (('eei', 'german-dominant'), 1), (('ein', 'german-dominant'), 1), (('inf', 'neutral'), 1), (('nfl', 'german-dominant'), 1), (('flu', 'german-dominant'), 1), (('llt', 'neutral'), 1), (('lta', 'neutral'), 1)]"
Apqumente !,Argumente:,"[('replace', 1, 3, 1, 3), ('replace', 9, 11, 9, 10)]","[(('rgu', 'neutral'), 1), (('gum', 'neutral'), 1)]"
tid die lifferens anm Shullenent geriger and soe reght ain,wird die Differenz zum Schwellenwert geringer und so reicht ein,"[('replace', 0, 1, 0, 1), ('insert', 2, 2, 2, 3), ('replace', 8, 9, 9, 10), ('replace', 16, 17, 17, 18), ('replace', 18, 20, 19, 21), ('insert', 23, 23, 24, 25), ('replace', 24, 25, 26, 28), ('insert', 29, 29, 32, 33), ('replace', 30, 31, 34, 35), ('insert', 37, 37, 41, 42), ('replace', 41, 42, 46, 47), ('delete', 47, 48, 52, 52), ('replace', 51, 52, 55, 57), ('replace', 55, 56, 60, 61)]","[(('wir', 'german-dominant'), 2), (('ird', 'german-dominant'), 1), (('ren', 'german-dominant'), 1), (('enz', 'german-dominant'), 1), (('zum', 'german-dominant'), 1), (('chw', 'german-dominant'), 1), (('ell', 'neutral'), 1), (('lle', 'german-dominant'), 2), (('len', 'german-dominant'), 1), (('enw', 'german-dominant'), 1), (('rin', 'neutral'), 1), (('ing', 'english-dominant'), 1), (('nge', 'german-dominant'), 1), (('und', 'german-dominant'), 1), (('rei', 'german-dominant'), 1), (('eic', 'german-dominant'), 1), (('ich', 'german-dominant'), 1)]"
Wescasere Depablite  ,- Weimarer Republik:,"[('insert', 0, 0, 0, 2), ('replace', 2, 4, 4, 6), ('replace', 5, 6, 7, 8), ('delete', 8, 9, 10, 10), ('replace', 10, 11, 11, 12), ('replace', 13, 14, 14, 15), ('replace', 17, 21, 18, 20)]","[(('eim', 'german-dominant'), 2), (('ima', 'neutral'), 1), (('mar', 'neutral'), 1), (('are', 'english-dominant'), 1), (('rer', 'german-dominant'), 1), (('epu', 'english-dominant'), 1), (('pub', 'english-dominant'), 1), (('bli', 'neutral'), 1), (('lik', 'neutral'), 1)]"
"Kurone Hisbortahe Erordiing , narn war is","Kurze Historische Einordnung, wann war es","[('replace', 3, 5, 3, 4), ('replace', 10, 11, 9, 10), ('replace', 13, 15, 12, 15), ('replace', 19, 20, 19, 21), ('replace', 23, 25, 24, 26), ('delete', 27, 28, 28, 28), ('insert', 30, 30, 30, 32), ('delete', 31, 33, 33, 33), ('replace', 39, 40, 39, 40)]","[(('urz', 'german-dominant'), 1), (('rze', 'german-dominant'), 1), (('sto', 'english-dominant'), 1), (('tor', 'neutral'), 1), (('ori', 'neutral'), 1), (('ris', 'neutral'), 1), (('isc', 'german-dominant'), 1), (('sch', 'german-dominant'), 1), (('che', 'german-dominant'), 1), (('ino', 'neutral'), 1), (('ord', 'neutral'), 1), (('rdn', 'german-dominant'), 1), (('dnu', 'german-dominant'), 1), (('nun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('wan', 'neutral'), 1), (('ann', 'neutral'), 1)]"
 tyighordeaseltens . Anbe enndiemait t,gezeigt werden sollten. Auch wenn diese meist,"[('replace', 0, 3, 0, 4), ('replace', 5, 7, 6, 10), ('replace', 10, 11, 13, 15), ('replace', 12, 13, 16, 18), ('delete', 17, 19, 22, 22), ('replace', 22, 25, 25, 28), ('insert', 26, 26, 29, 30), ('insert', 29, 29, 33, 34), ('insert', 32, 32, 37, 40), ('replace', 33, 34, 41, 42), ('insert', 35, 35, 43, 44), ('delete', 36, 38, 45, 45)]","[(('gez', 'german-dominant'), 1), (('eze', 'german-dominant'), 1), (('zei', 'german-dominant'), 1), (('eig', 'german-dominant'), 1), (('igt', 'german-dominant'), 1), (('wer', 'neutral'), 1), (('erd', 'german-dominant'), 1), (('rde', 'german-dominant'), 2), (('den', 'german-dominant'), 1), (('sol', 'neutral'), 1), (('oll', 'neutral'), 1), (('llt', 'neutral'), 1), (('lte', 'german-dominant'), 1), (('uch', 'neutral'), 1), (('enn', 'german-dominant'), 1), (('die', 'german-dominant'), 2), (('ies', 'neutral'), 1), (('ese', 'neutral'), 1)]"
" ofte Verglich sumne Meassishen Beratingsmadel , hoberfwie nur I","- Im Vergleich zum klassischen Beratungsmodell, haben wir nun","[('insert', 0, 0, 0, 1), ('replace', 1, 5, 2, 4), ('insert', 11, 11, 10, 11), ('replace', 15, 16, 15, 16), ('delete', 18, 20, 18, 18), ('replace', 21, 23, 19, 21), ('insert', 28, 28, 26, 27), ('replace', 37, 38, 36, 37), ('replace', 42, 43, 41, 42), ('replace', 46, 47, 45, 46), ('replace', 50, 51, 49, 50), ('replace', 53, 55, 52, 54), ('replace', 57, 58, 56, 57), ('replace', 61, 64, 60, 61)]","[(('lei', 'german-dominant'), 1), (('eic', 'german-dominant'), 1), (('zum', 'german-dominant'), 1), (('kla', 'german-dominant'), 2), (('las', 'neutral'), 1), (('ass', 'neutral'), 1), (('ssi', 'neutral'), 1), (('che', 'german-dominant'), 1), (('hen', 'neutral'), 1), (('tun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('ngs', 'neutral'), 1), (('mod', 'neutral'), 1), (('ode', 'neutral'), 1), (('del', 'neutral'), 1), (('hab', 'german-dominant'), 1), (('abe', 'german-dominant'), 1), (('ben', 'german-dominant'), 1), (('wir', 'german-dominant'), 1)]"
 Datenbanken speichern Informationen .,Datenbanken speichern Informationen.,"[('delete', 0, 1, 0, 0), ('delete', 36, 37, 35, 35)]",[]
Das hdistielard hate miht melt gaie a will Ergens . ',Das Industrieland hatte nicht mehr ganz so viel Einfluss.,"[('replace', 4, 5, 4, 6), ('replace', 6, 7, 7, 8), ('insert', 9, 9, 10, 11), ('replace', 13, 14, 15, 16), ('insert', 19, 19, 21, 22), ('replace', 21, 22, 24, 25), ('insert', 23, 23, 26, 27), ('replace', 28, 30, 32, 34), ('insert', 33, 33, 37, 44), ('delete', 35, 41, 46, 46), ('replace', 44, 47, 49, 50), ('insert', 48, 48, 51, 54), ('replace', 49, 50, 55, 56), ('delete', 51, 53, 57, 57)]","[(('ndu', 'neutral'), 1), (('dus', 'neutral'), 1), (('ust', 'neutral'), 1), (('str', 'neutral'), 1), (('iel', 'german-dominant'), 2), (('ela', 'neutral'), 1), (('lan', 'neutral'), 1), (('hat', 'english-dominant'), 1), (('att', 'english-dominant'), 1), (('tte', 'neutral'), 1), (('cht', 'german-dominant'), 1), (('ehr', 'german-dominant'), 1), (('gan', 'neutral'), 1), (('anz', 'german-dominant'), 1), (('vie', 'german-dominant'), 1), (('inf', 'neutral'), 2), (('nfl', 'german-dominant'), 1), (('flu', 'german-dominant'), 1), (('lus', 'german-dominant'), 1)]"
 toinfeck duce diediuerdibesndeens t,"singend durch die Natur, die besonders aus -","[('replace', 0, 3, 0, 1), ('replace', 5, 6, 3, 4), ('replace', 7, 9, 5, 7), ('insert', 12, 12, 10, 11), ('replace', 13, 14, 12, 13), ('insert', 18, 18, 17, 25), ('delete', 20, 21, 27, 27), ('replace', 22, 25, 28, 29), ('insert', 28, 28, 32, 33), ('replace', 31, 33, 36, 37), ('replace', 35, 36, 39, 44)]","[(('sin', 'neutral'), 1), (('ing', 'english-dominant'), 1), (('nge', 'german-dominant'), 1), (('gen', 'german-dominant'), 1), (('end', 'german-dominant'), 1), (('dur', 'german-dominant'), 1), (('rch', 'german-dominant'), 1), (('atu', 'neutral'), 1), (('tur', 'neutral'), 2), (('bes', 'german-dominant'), 1), (('eso', 'neutral'), 1), (('son', 'neutral'), 1), (('ond', 'neutral'), 1), (('nde', 'german-dominant'), 1), (('der', 'german-dominant'), 1), (('ers', 'neutral'), 1)]"
Brider . I larante wih haun stare ampeimnt and die Tellmtion aufelaths,Bei der 1. Variante wird kurz stark angesaugt und die Zellmembran aufgebrochen,"[('replace', 1, 2, 1, 2), ('insert', 3, 3, 3, 4), ('insert', 7, 7, 8, 9), ('replace', 9, 12, 11, 12), ('insert', 14, 14, 14, 15), ('replace', 21, 22, 22, 24), ('replace', 23, 25, 25, 26), ('replace', 26, 27, 27, 29), ('replace', 32, 33, 34, 35), ('replace', 35, 37, 37, 39), ('replace', 38, 41, 40, 44), ('replace', 43, 44, 46, 47), ('replace', 51, 52, 54, 55), ('replace', 56, 59, 59, 64), ('insert', 64, 64, 69, 70), ('replace', 65, 68, 71, 75), ('replace', 69, 70, 76, 78)]","[(('ari', 'neutral'), 1), (('ria', 'neutral'), 1), (('wir', 'german-dominant'), 1), (('ird', 'german-dominant'), 2), (('kur', 'german-dominant'), 1), (('urz', 'german-dominant'), 1), (('sta', 'neutral'), 1), (('tar', 'neutral'), 1), (('ark', 'neutral'), 1), (('ang', 'neutral'), 2), (('nge', 'german-dominant'), 1), (('ges', 'german-dominant'), 1), (('esa', 'neutral'), 1), (('sau', 'german-dominant'), 1), (('aug', 'english-dominant'), 1), (('ugt', 'german-dominant'), 1), (('die', 'german-dominant'), 1), (('ell', 'neutral'), 1), (('llm', 'neutral'), 1), (('lme', 'neutral'), 1), (('mem', 'english-dominant'), 1), (('ran', 'neutral'), 1), (('auf', 'german-dominant'), 1), (('ufg', 'german-dominant'), 2), (('fge', 'neutral'), 1), (('geb', 'german-dominant'), 1)]"
"-Kinder , werden als Last angesehen .,",- Kinder werden als Last angesehen,"[('insert', 1, 1, 1, 2), ('delete', 7, 9, 8, 8), ('delete', 35, 38, 34, 34)]","[(('der', 'german-dominant'), 1)]"
nene lnternehmen ,- neue Unternehmen,"[('insert', 0, 0, 0, 2), ('replace', 2, 3, 4, 5), ('replace', 5, 6, 7, 8), ('delete', 16, 17, 18, 18)]","[(('neu', 'german-dominant'), 1), (('eue', 'german-dominant'), 1), (('hme', 'german-dominant'), 1), (('men', 'neutral'), 1)]"
 t innedar DimensBen wt Ben Frmeseden tope hendan s,in mehreren Dimensionen mit dem zu messenden Konzept korrelieren.,"[('delete', 0, 3, 0, 0), ('insert', 5, 5, 2, 10), ('delete', 6, 10, 11, 11), ('replace', 17, 18, 18, 21), ('replace', 21, 22, 24, 26), ('replace', 24, 25, 28, 29), ('replace', 26, 27, 30, 31), ('replace', 28, 30, 32, 35), ('insert', 33, 33, 38, 39), ('insert', 34, 34, 40, 41), ('insert', 38, 38, 45, 51), ('insert', 39, 39, 52, 54), ('replace', 40, 41, 55, 57), ('replace', 42, 44, 58, 62), ('replace', 46, 51, 64, 65)]","[(('meh', 'german-dominant'), 1), (('ehr', 'german-dominant'), 2), (('hre', 'german-dominant'), 1), (('rer', 'german-dominant'), 1), (('ere', 'neutral'), 1), (('ren', 'german-dominant'), 1), (('ens', 'german-dominant'), 1), (('nsi', 'neutral'), 1), (('sio', 'neutral'), 1), (('one', 'neutral'), 1), (('nen', 'german-dominant'), 1), (('mit', 'german-dominant'), 2), (('dem', 'german-dominant'), 1), (('ess', 'neutral'), 1), (('sse', 'german-dominant'), 2), (('sen', 'german-dominant'), 2), (('end', 'german-dominant'), 1), (('nde', 'german-dominant'), 2), (('den', 'german-dominant'), 1), (('onz', 'german-dominant'), 1), (('nze', 'german-dominant'), 1), (('zep', 'german-dominant'), 1), (('ept', 'neutral'), 1)]"
Stadenla wahioman an Sport rerestaltenen teil .,Studenten nehmen an Sportveranstaltungen teil.,"[('replace', 2, 3, 2, 3), ('replace', 6, 8, 6, 9), ('replace', 9, 11, 10, 12), ('delete', 12, 14, 13, 13), ('replace', 15, 16, 14, 15), ('replace', 26, 28, 25, 26), ('replace', 30, 31, 28, 30), ('replace', 36, 37, 35, 36), ('insert', 38, 38, 37, 38), ('delete', 45, 46, 45, 45)]","[(('tud', 'german-dominant'), 1), (('ude', 'german-dominant'), 1), (('ent', 'neutral'), 1), (('nte', 'german-dominant'), 1), (('ten', 'german-dominant'), 1), (('neh', 'german-dominant'), 2), (('ehm', 'german-dominant'), 1), (('hme', 'german-dominant'), 1), (('men', 'neutral'), 2), (('tve', 'german-dominant'), 1), (('ver', 'neutral'), 1), (('era', 'neutral'), 1), (('ran', 'neutral'), 1), (('ans', 'neutral'), 1), (('nst', 'neutral'), 1), (('sta', 'neutral'), 1), (('tun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('nge', 'german-dominant'), 2), (('gen', 'german-dominant'), 1)]"
"TTT o mit aen Beiteden ag ander alreption brcdsetont had ""I","mit allen Begleiterscheinungen der Konzeption, Durchsetzung und","[('delete', 0, 6, 0, 0), ('insert', 11, 11, 5, 7), ('insert', 16, 16, 12, 15), ('replace', 19, 20, 18, 28), ('delete', 23, 28, 31, 31), ('replace', 32, 35, 35, 39), ('insert', 41, 41, 45, 46), ('replace', 42, 43, 47, 49), ('replace', 45, 46, 51, 52), ('replace', 49, 50, 55, 57), ('replace', 51, 52, 58, 59), ('replace', 53, 55, 60, 62), ('delete', 56, 59, 63, 63)]","[(('mit', 'german-dominant'), 1), (('all', 'neutral'), 1), (('lle', 'german-dominant'), 1), (('eit', 'german-dominant'), 1), (('ite', 'neutral'), 1), (('ers', 'neutral'), 1), (('rsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 1), (('hei', 'neutral'), 1), (('ein', 'german-dominant'), 1), (('inu', 'neutral'), 1), (('nun', 'german-dominant'), 1), (('ung', 'german-dominant'), 2), (('nge', 'german-dominant'), 1), (('gen', 'german-dominant'), 1), (('der', 'german-dominant'), 1), (('ept', 'neutral'), 1), (('pti', 'neutral'), 2), (('tio', 'neutral'), 1), (('ion', 'neutral'), 1), (('urc', 'german-dominant'), 1), (('rch', 'german-dominant'), 2), (('chs', 'german-dominant'), 1), (('hse', 'german-dominant'), 2), (('set', 'neutral'), 1), (('etz', 'german-dominant'), 1), (('tzu', 'german-dominant'), 2), (('zun', 'german-dominant'), 1)]"
tt  alntt,Deadlocks,"[('replace', 0, 4, 0, 2), ('insert', 5, 5, 3, 4), ('replace', 6, 9, 5, 9)]","[(('ead', 'english-dominant'), 1), (('adl', 'english-dominant'), 1), (('dlo', 'english-dominant'), 2), (('loc', 'neutral'), 2), (('ock', 'neutral'), 1), (('cks', 'neutral'), 1)]"
Maihde taist it,nicht der Fall ist.,"[('replace', 0, 2, 0, 1), ('insert', 3, 3, 2, 3), ('insert', 4, 4, 4, 6), ('insert', 6, 6, 8, 9), ('replace', 7, 8, 10, 11), ('insert', 9, 9, 12, 15), ('replace', 12, 15, 18, 19)]","[(('nic', 'german-dominant'), 1), (('ich', 'german-dominant'), 2), (('cht', 'german-dominant'), 2), (('der', 'german-dominant'), 1), (('all', 'neutral'), 1)]"
 Hoibtt,vor Gericht,"[('insert', 0, 0, 0, 3), ('replace', 1, 3, 4, 7), ('replace', 4, 5, 8, 10), ('delete', 6, 7, 11, 11)]","[(('vor', 'german-dominant'), 1), (('eri', 'neutral'), 1), (('ric', 'neutral'), 1)]"
in tenter drder land  ',in einem anderen Land,"[('delete', 3, 4, 3, 3), ('insert', 5, 5, 4, 5), ('delete', 6, 7, 6, 6), ('replace', 8, 9, 7, 8), ('replace', 10, 12, 9, 11), ('insert', 15, 15, 14, 16), ('replace', 16, 17, 17, 18), ('delete', 20, 23, 21, 21)]","[(('ein', 'german-dominant'), 2), (('ine', 'german-dominant'), 2), (('nem', 'neutral'), 1), (('and', 'neutral'), 2), (('nde', 'german-dominant'), 1), (('der', 'german-dominant'), 1), (('ren', 'german-dominant'), 1)]"
Gartenstadt .,Gartenstadt:,"[('replace', 11, 13, 11, 12)]",[]
- A Sprube beinttic des bederand egatine t,"- Sprache beinflusst das Denken, auch negativ","[('delete', 1, 3, 1, 1), ('replace', 7, 9, 5, 8), ('insert', 15, 15, 14, 19), ('delete', 16, 19, 20, 20), ('replace', 21, 22, 22, 23), ('replace', 24, 25, 25, 26), ('replace', 26, 27, 27, 29), ('replace', 28, 29, 30, 33), ('insert', 30, 30, 34, 38), ('delete', 31, 33, 39, 39), ('replace', 38, 42, 44, 45)]","[(('ach', 'german-dominant'), 1), (('che', 'german-dominant'), 1), (('nfl', 'german-dominant'), 1), (('flu', 'german-dominant'), 2), (('lus', 'german-dominant'), 1), (('uss', 'german-dominant'), 1), (('sst', 'neutral'), 1), (('das', 'german-dominant'), 1), (('enk', 'german-dominant'), 2), (('nke', 'german-dominant'), 1), (('ken', 'neutral'), 2), (('neg', 'neutral'), 1), (('ega', 'neutral'), 1), (('gat', 'neutral'), 1), (('ati', 'neutral'), 1)]"
T T eSeih elieh pegbelybengT,da sie sich vielmehr gegenseitig bedingen.,"[('replace', 0, 1, 0, 2), ('replace', 2, 3, 3, 6), ('insert', 4, 4, 7, 14), ('replace', 5, 6, 15, 27), ('replace', 8, 9, 29, 32), ('delete', 10, 19, 33, 33), ('replace', 21, 24, 35, 39), ('replace', 26, 28, 41, 42)]","[(('sie', 'german-dominant'), 2), (('sic', 'german-dominant'), 1), (('ich', 'german-dominant'), 2), (('vie', 'german-dominant'), 1), (('iel', 'german-dominant'), 1), (('elm', 'german-dominant'), 1), (('lme', 'neutral'), 1), (('meh', 'german-dominant'), 1), (('ehr', 'german-dominant'), 1), (('geg', 'german-dominant'), 1), (('ege', 'german-dominant'), 1), (('gen', 'german-dominant'), 1), (('ens', 'german-dominant'), 1), (('nse', 'neutral'), 1), (('sei', 'german-dominant'), 1), (('eit', 'german-dominant'), 1)]"
"andere Fimen  """,andere Firmen,"[('insert', 9, 9, 9, 10), ('delete', 12, 15, 13, 13)]","[(('irm', 'neutral'), 1), (('men', 'neutral'), 1)]"
 Hhimpplybat dasermannyt,Schauspieler mit Namensnennung,"[('insert', 0, 0, 0, 12), ('replace', 1, 3, 13, 14), ('delete', 4, 11, 15, 15), ('replace', 13, 14, 17, 18), ('insert', 15, 15, 19, 22), ('insert', 16, 16, 23, 24), ('delete', 17, 20, 25, 25), ('replace', 22, 24, 27, 30)]","[(('cha', 'neutral'), 1), (('hau', 'german-dominant'), 2), (('aus', 'german-dominant'), 1), (('usp', 'neutral'), 1), (('spi', 'neutral'), 1), (('pie', 'neutral'), 1), (('iel', 'german-dominant'), 1), (('ele', 'neutral'), 1), (('ler', 'german-dominant'), 1), (('mit', 'german-dominant'), 2), (('ame', 'neutral'), 1), (('men', 'neutral'), 1), (('ens', 'german-dominant'), 1), (('nsn', 'neutral'), 1), (('sne', 'neutral'), 1), (('nen', 'german-dominant'), 1)]"
I Huygstih etan andne are whed I,- Gegenseitig blockieren und keiner arbeitet weiter,"[('replace', 0, 1, 0, 1), ('replace', 2, 5, 2, 4), ('insert', 6, 6, 5, 7), ('insert', 7, 7, 8, 10), ('replace', 9, 10, 12, 13), ('insert', 11, 11, 14, 20), ('replace', 12, 14, 21, 23), ('replace', 16, 17, 25, 26), ('insert', 19, 19, 28, 32), ('insert', 21, 21, 34, 35), ('insert', 24, 24, 38, 39), ('insert', 25, 25, 40, 44), ('delete', 27, 28, 46, 46), ('replace', 29, 32, 47, 51)]","[(('ege', 'german-dominant'), 1), (('gen', 'german-dominant'), 2), (('ens', 'german-dominant'), 2), (('nse', 'neutral'), 1), (('sei', 'german-dominant'), 1), (('eit', 'german-dominant'), 1), (('iti', 'neutral'), 2), (('tig', 'german-dominant'), 2), (('blo', 'english-dominant'), 1), (('loc', 'neutral'), 1), (('ock', 'neutral'), 1), (('cki', 'neutral'), 1), (('kie', 'neutral'), 1), (('ier', 'german-dominant'), 1), (('ere', 'neutral'), 1), (('und', 'german-dominant'), 1), (('kei', 'german-dominant'), 1), (('ein', 'german-dominant'), 1), (('ine', 'german-dominant'), 1)]"
 Abrmdboyitte dec B CAtrd t,Grundbegriffe der IB (Akteure),"[('replace', 0, 3, 0, 1), ('replace', 4, 5, 2, 4), ('replace', 7, 9, 6, 9), ('replace', 10, 12, 10, 12), ('replace', 16, 17, 16, 17), ('insert', 18, 18, 18, 19), ('replace', 20, 21, 21, 22), ('insert', 22, 22, 23, 24), ('insert', 23, 23, 25, 27), ('replace', 24, 27, 28, 30)]","[(('run', 'german-dominant'), 1), (('und', 'german-dominant'), 2), (('ndb', 'neutral'), 1), (('dbe', 'english-dominant'), 1), (('beg', 'neutral'), 1), (('egr', 'neutral'), 1), (('gri', 'neutral'), 1), (('rif', 'neutral'), 2), (('iff', 'neutral'), 1), (('ffe', 'neutral'), 1), (('der', 'german-dominant'), 1), (('kte', 'german-dominant'), 1), (('teu', 'german-dominant'), 1), (('eur', 'neutral'), 1), (('ure', 'neutral'), 1)]"
-lodreile .,- Nachteile :,"[('replace', 1, 5, 1, 7), ('replace', 10, 11, 12, 13)]","[(('ach', 'german-dominant'), 1), (('cht', 'german-dominant'), 1), (('ile', 'neutral'), 1)]"
